Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Medium,6750,40.2459,38.7954
Medium,5500,122.0703,121.0066
Medium,5500,55.6654,54.6246
Medium,6650,12.1373,11.0245
Medium,5700,44.3211,41.8908
Medium,6650,17.4944,15.9929
Medium,5500,4.0041,3.2992
Medium,5600,517.8502,516.7386
Medium,5550,50.8571,50.0373
Medium,5700,18.9741,17.7132
Medium,6050,85.2345,83.6137
Medium,6250,1.4252,0.7798
Medium,6700,182.798,181.061
Medium,6550,10.255,9.07
Medium,5650,44.9593,44.1009
Medium,5950,29.9853,28.1189
Medium,5400,26.5029,23.4537
Medium,5650,5.4435,4.5173
Medium,5400,13.6584,12.6787
Medium,5850,9.4786,8.2805
Medium,5700,46.9558,45.9106
Medium,6450,2.9111,1.1187
Medium,5650,6.3245,4.9009
Medium,5800,32.3386,31.3498
Medium,5700,4909.1824,4908.2542
Medium,5800,54.7053,53.7989
Medium,5500,82.5992,81.7862
Medium,5500,9.6707,8.9084
Medium,6150,26.5624,24.6639
Medium,6350,51.133,50.2461
Medium,5600,10.7344,9.9035
Medium,5700,171.9539,170.6763
Medium,6050,11.2735,10.4799
Medium,5850,1.9339,1.0709
Medium,5400,493.377,490.7181
Medium,5500,221.4009,219.753
Medium,5600,64.9498,63.7711
Medium,6750,21.9447,20.8975
Medium,6550,119.9156,118.2362
Medium,6150,18.3008,16.1585
Medium,5500,6.6074,5.7821
Medium,5500,162.4266,161.6589
Medium,5850,43.7188,42.6822
Medium,6350,4.3527,3.3405
Medium,5650,12.8228,11.9746
Medium,5800,37.9184,36.8049
Medium,6550,378.2295,376.0534
Medium,5500,57.7872,56.4424
Medium,6600,7.9495,7.1668
Medium,6450,8.95,6.6863
Medium,6350,98.4602,97.0758
Medium,5400,4.2455,3.4084
Medium,6150,269.1417,268.0346
Medium,5400,63.3876,62.2733
Medium,5600,96.6476,94.4078
Medium,5500,41.5415,40.6556
Medium,5950,26.3817,25.1563
Medium,5400,7.2608,6.3646
Medium,5500,14.8933,13.9922
Medium,5400,5.0916,3.6905
Medium,5850,46.8595,45.89
Medium,5600,10.9301,9.9357
Medium,5850,404.2211,403.2604
Medium,5400,225.4249,223.9826
Medium,6650,8.9582,7.4581
Medium,6450,27.8279,26.6958
Medium,6150,554.0212,552.058
Medium,5850,17.3978,16.2814
Medium,5950,59.5625,58.2682
Medium,5600,66.9115,65.6426
Medium,5500,37.4774,35.8113
Medium,6050,155.9722,153.4587
Medium,5400,5.9823,5.2806
Medium,5400,30.708,30.002
Medium,6800,403.877,402.4251
Medium,5500,10.0028,8.9183
Medium,6250,80.0723,78.6547
Medium,5700,7.5524,6.5547
Medium,6450,14.8591,13.9646
Medium,6050,17.035,15.5455
Medium,6250,32.5111,31.2848
Medium,5400,157.1679,154.6097
Medium,6350,43.7304,41.5305
Medium,6650,27.0121,24.6551
Medium,5700,23.7345,22.5223
Medium,5500,10.1265,9.0993
Medium,6050,17.9032,16.5555
Medium,5600,18.607,17.5521
Medium,5700,83.8662,81.4061
Medium,6250,64.0762,62.756
Medium,5400,18.8149,18.1816
Medium,5400,22.2359,21.4762
Medium,5800,1649.8168,1648.8379
Medium,5600,11.6866,10.7642
Medium,5400,34.8013,33.6341
Medium,6550,143.733,141.6749
Medium,6750,38.1774,36.9941
Medium,5650,31.6651,30.7273
Medium,6350,27.2656,25.4672
Medium,5600,193.5214,192.508
Medium,5500,16.9348,15.9422
Medium,5850,173.3795,169.3796
Medium,5800,352.5512,351.0238
Medium,6150,137.4141,135.5817
Medium,5500,103.9513,103.061
Medium,5400,15.6096,14.9181
Medium,6550,6.8236,5.2086
Medium,6050,298.4196,296.6195
Medium,5800,47.5471,46.6233
Medium,5800,163.918,162.4397
Medium,6150,91.9726,89.4992
Medium,6150,49.3824,48.1602
Medium,6850,509.0012,507.2757
Medium,5400,17.6321,14.2236
Medium,5400,87.288,86.441
Medium,6450,58.2561,55.8754
Medium,6250,27.875,26.4114
Medium,5700,117.8848,115.2878
Medium,6100,3.1559,1.7361
Medium,5400,2.5225,1.839
Medium,6800,51.3078,50.489
Medium,5400,10.7876,10.0064
Medium,5700,515.8626,514.9641
Medium,5950,77.6613,76.5791
Medium,5600,859.1273,858.2879
Medium,6550,13.6496,12.5736
Medium,6450,7.5329,6.555
Medium,5700,300.3896,298.6337
Medium,5400,16.0456,14.8372
Medium,5600,54.3906,52.4606
Medium,5400,9.8384,7.5982
Medium,6150,7.0988,6.344
Medium,5600,26.1692,25.3513
Medium,5400,19.4546,18.758
Medium,5400,12.5615,11.8451
Medium,5500,14.8319,14.1112
Medium,6750,9.1668,7.3676
Medium,5550,22.1194,20.6183
Medium,5600,22.5371,21.5083
Medium,6250,40.4978,38.4413
Medium,5600,56.8173,56.0753
Medium,5500,17.759,16.9613
Hard,7900,46.8294,43.8458
Hard,8100,8.7371,7.5546
Hard,7700,20.3209,15.4045
Hard,8750,172.0627,169.4595
Hard,7800,28.5081,24.3231
Hard,8600,12.7984,10.2991
Hard,7150,136.5437,134.8882
Hard,6950,323.3103,321.8265
Hard,7950,1394.3428,1391.9304
Hard,8100,3.1104,1.8956
Hard,9000,813.3348,811.6653
Hard,8400,456.6987,455.2319
Hard,6550,21.7159,20.3871
Hard,8300,122.0115,118.6174
Hard,7800,191.9932,183.6343
Hard,7800,102.3149,98.4149
Hard,8900,3.3072,2.1902
Hard,6950,278.2185,276.0326
Hard,6750,144.9893,143.4521
Hard,9000,21.8304,19.1489
Hard,8550,718.7054,716.8613
Hard,7600,79.8474,75.6513
Hard,7200,58.5841,56.7666
Hard,7700,25.8798,24.1758
Hard,8000,9.762,8.0342
Hard,7900,17.365,15.6562
Hard,8000,4.813,3.7514
Hard,8900,29.923,28.3936
Hard,7100,5.363,4.5173
Hard,7500,1807.7804,1804.914
Hard,7800,29.1104,26.4458
Hard,8500,8.5461,7.2663
Hard,7800,75.144,71.9125
Hard,8600,32.5176,29.8854
Hard,8800,189.4487,185.675
Hard,8500,198.1934,196.6365
Hard,8900,12.027,10.5608
Hard,8600,32.5512,30.3528
Hard,9100,14.8908,13.6362
Hard,8700,45.2045,43.0891
Hard,9200,36.3947,34.1368
Hard,7900,65.6758,62.1381
Hard,9200,46.0294,44.3414
Hard,6750,10.0413,8.7419
Hard,8100,45.7764,43.6137
Hard,7650,3.7638,2.6346
Hard,8350,188.6227,186.4802
Hard,8300,6.1726,4.3724
Hard,8800,77.868,76.0492
Hard,7900,138.9863,137.7571
